Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2013-05-28T15:24:00Z,34.611824,-120.074655,0,185,-666,0,57.8,-666,268.6,36.9,23.9,1
2013-11-04T11:41:00Z,38.67479,-122.08725,0,136,-4,0,25.4,0,0,31.8,14.7,1
2013-07-19T14:12:00Z,38.63987,-121.08438,0,218,-4,0,40,0.134,50.5,9.8,31.6,1
2013-10-04T12:25:00Z,38.34599,-122.6503,0,73,-4,0,27.5,0,0,29.2,21.4,1
2013-07-12T15:35:00Z,37.436,-121.1955,0,292,-4,0,32.4,0.097,294.7,9.7,30.1,1
2013-06-25T13:36:00Z,36.7218,-119.2248,0,509,-4,0.25,56.9,0.262,14.3,7.5,20.9,1
2013-09-08T11:53:00Z,36.258,-118.459,0,2608,-3,0,30.8,0.486,0,8.1,12.6,1
2013-05-01T02:01:00Z,38.638828,-122.655616,0,250,-3,0,34.5,0.339,47.3,18.6,26.8,1
2013-06-18T15:18:00Z,38.08744,-122.13802,0,17,-4,0,63.8,0.099,234.1,27.9,22.6,1
2013-05-25T14:59:00Z,33.963591,-117.187934,0,620,-4,0,59.4,0.079,207.1,9.4,20.1,1
2013-11-08T13:42:00Z,38.882214,-122.567525,0,475,-4,0,46.6,0,0,12,19.5,1
2013-08-17T17:25:00Z,34.287,-117.451,0,899,-4,0,37.1,0.004,660.3,9.3,31.1,1
2013-06-13T11:54:00Z,36.772425,-119.628389,0,114,-4,0,26.5,0,0,17.9,33.4,1
2013-06-29T14:09:00Z,36.1531,-120.8973,0,361,-2,0,30.2,0.097,23.7,11.1,37,1
2013-09-24T03:20:00Z,35.4393,-120.8358,0,77,-4,0,52.7,0.082,0,21.3,27.5,1
2013-05-19T15:07:00Z,37.1927,-119.7917,0,480,-4,0,35.7,0.087,249.4,18.2,22.5,1
2013-07-07T13:16:00Z,35.62743,-120.83417,0,467,-3,0,68.1,0.241,3.5,9.6,20.1,1
2013-11-22T10:06:00Z,39.0442,-123.1478,0,167,-4,0,42.2,0.588,0,25.5,15,1
2013-07-25T15:09:00Z,34.316,-117.352,0,1001,-3,0,49.3,0.184,221.5,9.2,28.5,1
2013-06-12T16:40:00Z,37.169379,-119.75636,0,402,-4,0,31.8,0.023,544.1,7.8,29.5,1
2013-05-13T13:30:00Z,34.1834,-117.4408,0,618,-4,0,32.4,0.034,9,6.7,31,1
2013-07-19T16:21:00Z,33.9634,-117.2508,0,530,-4,0,35.2,0.084,458.5,7.9,31.5,1
2013-07-20T16:21:00Z,33.9634,-117.2508,0,530,-4,0,46.4,0.085,350.5,7.9,32.3,1
2013-06-14T13:47:00Z,34.001745,-117.302057,0,462,-4,0,55,0.121,38.1,7.8,27,1
2013-05-16T13:48:00Z,33.655638,-116.161201,0,-32,-4,0,47.7,0,44.5,16.2,34.7,1
2013-08-07T12:35:00Z,39.1591,-122.5906,1,457,-4,0.07,83,0,0,8.9,28.6,1
2013-07-06T13:09:00Z,37.74241,-121.86216,0,180,-3,0,85,0.175,0.9,23.6,19.6,1
2013-06-13T15:54:00Z,36.763367,-119.558244,0,121,-4,0,28.3,0.025,411.3,17.8,33.3,1
2013-05-20T15:45:00Z,35.49864,-120.91375,0,192,-3,0,44.4,0.169,360.9,18.1,25.2,1
2013-11-07T16:10:00Z,40.483662,-122.140914,0,153,-4,0,54.9,0,106.2,5.6,19.6,1
2013-07-22T12:34:00Z,37.965364,-120.696362,0,290,-4,0,49,0.171,0,16.3,30.7,1
2013-07-23T12:34:00Z,37.965364,-120.696362,0,290,-4,0,55,0.171,0,19.2,28.9,1
2013-06-05T16:05:00Z,38.99233,-122.703193,0,403,-4,0,42.7,0.161,407.4,9.7,30,1
2013-04-20T17:30:00Z,34.288877,-116.941311,0,2395,-4,0,14.7,0,782.9,10.9,10.6,1
2013-04-21T17:30:00Z,34.288877,-116.941311,0,2395,-4,0,22.4,0,773.4,6,13.1,1
2013-06-10T00:46:00Z,38.4229,-122.0437,0,120,-4,0,60,0,253.5,24.4,36.1,1
2013-06-11T00:46:00Z,38.4229,-122.0437,0,120,-4,1.79,62.9,0,217.9,23.4,18.3,1
2013-06-12T00:46:00Z,38.4229,-122.0437,0,120,-4,0,36.2,0,284,12.4,24,1
2013-06-13T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17.2,0,291,13.3,26.5,1
2013-06-14T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17,0,290.9,12.3,26.5,1
2013-06-10T00:46:00Z,38.4229,-122.0437,0,120,-4,0,60,0,253.5,24.4,36.1,1
2013-06-11T00:46:00Z,38.4229,-122.0437,0,120,-4,1.79,62.9,0,217.9,23.4,18.3,1
2013-06-12T00:46:00Z,38.4229,-122.0437,0,120,-4,0,36.2,0,284,12.4,24,1
2013-06-13T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17.2,0,291,13.3,26.5,1
2013-06-14T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17,0,290.9,12.3,26.5,1
2013-06-10T00:46:00Z,38.4229,-122.0437,0,120,-4,0,60,0,253.5,24.4,36.1,1
2013-06-11T00:46:00Z,38.4229,-122.0437,0,120,-4,1.79,62.9,0,217.9,23.4,18.3,1
2013-06-12T00:46:00Z,38.4229,-122.0437,0,120,-4,0,36.2,0,284,12.4,24,1
2013-06-13T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17.2,0,291,13.3,26.5,1
2013-06-14T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17,0,290.9,12.3,26.5,1
2013-06-10T00:46:00Z,38.4229,-122.0437,0,120,-4,0,60,0,253.5,24.4,36.1,1
2013-06-11T00:46:00Z,38.4229,-122.0437,0,120,-4,1.79,62.9,0,217.9,23.4,18.3,1
2013-06-12T00:46:00Z,38.4229,-122.0437,0,120,-4,0,36.2,0,284,12.4,24,1
2013-06-13T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17.2,0,291,13.3,26.5,1
2013-06-14T00:46:00Z,38.4229,-122.0437,0,120,-4,0,17,0,290.9,12.3,26.5,1
2013-08-14T15:37:00Z,40.473356,-122.48259,0,273,-4,0,38.1,0.053,252.3,8.3,32.3,1
2013-07-28T09:43:00Z,32.612773,-116.707335,1,270,-2,0,88.7,0.16,0,6.4,27,1
2013-05-20T13:47:00Z,33.96201,-116.907213,0,1000,-4,0,37.5,0.069,40.6,7.6,25.2,1
2013-07-19T17:31:00Z,33.94528,-117.09306,0,671,-4,0,24.7,0.071,630,7,31.1,1
2013-08-03T08:00:00Z,41.333,-123.376,0,387,-4,0,55,0,0,10,27.1,1
2014-07-30T23:00:00Z,42.048,-122.345,0,1066,-1,0.13,14.3,0.031,496.9,9.5,30.9,1
2014-07-31T23:00:00Z,42.048,-122.345,0,1066,-1,0,15.7,0.031,587.4,8,30.4,1
2014-08-01T23:00:00Z,42.048,-122.345,0,1066,-1,0,12.7,0.033,612,9.6,30.6,1
2014-08-02T23:00:00Z,42.048,-122.345,0,1066,-1,0,21.6,0.033,601.4,11.2,31.1,1
2014-08-03T23:00:00Z,42.048,-122.345,0,1066,-1,0,23.9,0.032,606.3,10.7,28.8,1
2014-08-04T23:00:00Z,42.048,-122.345,0,1066,-1,1.22,37.9,0.037,497.1,12,28.8,1
2014-08-05T23:00:00Z,42.048,-122.345,0,1066,-1,1.76,43,0.049,464.9,11.7,26.6,1
2014-08-06T23:00:00Z,42.048,-122.345,0,1066,-1,0,19.3,0.057,631.3,12.4,26.5,1
2014-08-07T23:00:00Z,42.048,-122.345,0,1066,-1,0,23.4,0.058,627,12,26.7,1
2014-08-08T23:00:00Z,42.048,-122.345,0,1066,-1,0,26,0.054,621.3,13.9,27.1,1
2014-08-09T23:00:00Z,42.048,-122.345,0,1066,-1,0,21.2,0.049,574.6,11.2,28.1,1
2014-08-10T23:00:00Z,42.048,-122.345,0,1066,-1,0,22.7,0.044,515.3,9.3,29.4,1
2014-08-11T23:00:00Z,42.048,-122.345,0,1066,-1,0.57,19.4,0.049,417.6,9,27.9,1
2014-08-12T23:00:00Z,42.048,-122.345,0,1066,-1,0.68,20.2,0.063,576.4,9.9,28.1,1
2014-08-13T23:00:00Z,42.048,-122.345,0,1066,-1,2.21,50,0.063,345,9.5,24.3,1
