Date,Latitude,Longitude,Leaf_Wetness,Elevation,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Wind_Speed,Temperature,isFire
2019-06-06T00:00:00Z,40.1,-121.3,0,1683,4,0,31.8,1,444.1,13.7,21.5,0
2014-05-24T00:00:00Z,36.2,-119.8,0,62,-3,0,17.6,0.057,375.8,15.4,31.6,0
2017-10-01T00:00:00Z,38.3,-121.4,0,5,-3,0.87,30.4,0,240.7,15.3,27.3,0
2014-09-08T00:00:00Z,38.8,-120.7,0,935,-4,0,22.4,0,342.8,11.5,25.7,0
2021-07-10T00:00:00Z,38.2,-121.8,0,21,-4,0,16.8,0,419.6,23,36.8,0
2015-02-07T00:00:00Z,39.8,-122.9,1,1334,4,51.71,100,1.85,5.1,27.2,7.5,0
2018-10-11T00:00:00Z,37.9,-118.7,0,2032,-4,0,38,0,144.1,12.2,15.6,0
2019-09-05T00:00:00Z,37.4,-118.5,0,1356,-3,0,25.5,0.097,287.6,4.6,28.5,0
2017-12-14T00:00:00Z,40.9,-119.5,0,2036,-3,0,19.3,0.345,55.2,12.3,7.9,0
2017-06-08T00:00:00Z,36.5,-119,0,359,2,0,19,0.197,384,6.9,31.7,0
2015-01-17T00:00:00Z,39.9,-120.1,0,2344,1,0.38,73.7,1.04,41.6,46,2.8,0
2020-11-15T00:00:00Z,36.8,-120.9,0,599,-4,0,54.9,0,130.2,14.8,13.3,0
2017-12-28T00:00:00Z,40.2,-121.4,0,2318,2,0,25.4,1.149,82.6,26,5.1,0
2018-05-18T00:00:00Z,36.7,-118.7,0,2514,4,0,72.2,1.094,347.2,6.4,5.8,0
2016-09-27T00:00:00Z,39.8,-121,0,1240,-4,0,18.9,0.067,271.6,16.6,27.5,0
2017-11-17T00:00:00Z,37,-120.9,1,62,-3,6.33,80.6,0,11.5,15.3,19.7,0
2014-06-22T00:00:00Z,36.9,-119.5,0,226,-4,0,10,0.081,299.8,11.2,32.3,0
2020-03-22T00:00:00Z,37.3,-118.9,0,3412,-4,0,83.8,0.143,115.1,13.6,-10.3,0
2019-09-03T00:00:00Z,37,-121.3,0,494,-4,0,50,0.024,358.3,12.6,29.3,0
2017-06-22T00:00:00Z,37.1,-120.6,0,31,-2,0,19.6,0.008,402.7,20,40.2,0
2018-12-06T00:00:00Z,38.2,-121.3,1,12,-3,8.3,74.5,0.526,48.1,14.7,12.8,0
2020-12-01T00:00:00Z,39.8,-121.2,0,1727,-3,0,41.1,0.835,98.5,16.1,7.5,0
2014-08-28T00:00:00Z,38.8,-120.2,0,1985,-4,0,34.1,0.269,383.1,7.8,20,0
2020-01-19T00:00:00Z,36.3,-120.7,0,889,0,0,58.2,0.979,36,8.6,10.8,0
2014-01-07T00:00:00Z,40.6,-122.3,0,196,-4,0,39.6,0,45.1,17.4,18.1,0
2021-09-24T00:00:00Z,36.2,-118.7,0,1557,-4,0,26.2,0.049,249.8,8.4,21.4,0
2019-08-03T00:00:00Z,37.7,-118.6,0,2360,-1,0,12.3,0,405.7,14,21.4,0
2020-11-28T00:00:00Z,39.7,-121.3,0,1192,-3,0,45,0.857,103.7,35.8,11.8,0
2015-10-08T00:00:00Z,36,-118.9,0,263,-4,0,31.2,0,180.9,6.6,26.2,0
